"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,1.3e-07,0,200,2,0.74728,47,47
3,1.3e-07,1,200,3,0.74728,0,0
3,0.0010385,2,200,2,0.17941,17,17
3,0.0010385,3,200,1,0.17941,11,11
3,0.0012082,4,200,2,0.10773,29,33
3,0.0012082,5,200,1,0.10773,23,27
3,0.00078633,6,200,2,0.09827,25,25
3,0.00078633,7,200,1,0.09827,19,19
3,0.0017128,8,200,2,0.13793,21,21
3,0.0017128,9,200,1,0.13793,15,15
3,9.5055e-05,10,200,2,0.095254,5,5
3,9.5055e-05,11,200,1,0.095254,1,1
3,6.1465e-05,12,200,2,0.082317,41,37
3,6.1465e-05,13,200,1,0.082317,35,31
3,3.1148e-05,14,200,2,0.089681,45,45
3,3.1148e-05,15,200,1,0.089681,39,39
3,0.00070249,16,200,2,0.07087,37,41
3,0.00070249,17,200,1,0.07087,31,35
3,0.0011659,18,200,2,0.088151,33,29
3,0.0011659,19,200,1,0.088151,27,23
3,0.0011834,20,200,2,0.29445,13,13
3,0.0011834,21,200,1,0.29445,7,7
3,2.5031e-05,22,200,2,0.28271,9,9
3,2.5031e-05,23,200,1,0.28271,3,3
3,0.0028745,24,100,2,0.032602,49,49
3,0.0028745,25,100,1,0.032602,43,43
