"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,1.5476e-09,0,200,2,0.74265,43,43
3,1.5476e-09,1,200,3,0.74265,0,0
3,6.7618e-07,2,200,2,0.29937,9,9
3,6.7618e-07,3,200,1,0.29937,3,3
3,1.6493e-06,4,200,2,0.09688,41,41
3,1.6493e-06,5,200,1,0.09688,35,35
3,1.7955e-06,6,200,2,0.1043,37,37
3,1.7955e-06,7,200,1,0.1043,31,31
3,2.015e-07,8,200,2,0.14843,25,25
3,2.015e-07,9,200,1,0.14843,19,19
3,7.6069e-07,10,200,2,0.19527,21,21
3,7.6069e-07,11,200,1,0.19527,15,15
3,5.2154e-07,12,200,2,0.12279,5,5
3,5.2154e-07,13,200,1,0.12279,1,1
3,1.4247e-08,14,200,2,0.27986,17,17
3,1.4247e-08,15,200,1,0.27986,11,11
3,2.0527e-07,16,200,2,0.067782,13,13
3,2.0527e-07,17,200,1,0.067782,7,7
3,2.4455e-07,18,200,2,0.081729,45,45
3,2.4455e-07,19,200,1,0.081729,39,39
3,8.6425e-07,20,200,2,0.12482,33,33
3,8.6425e-07,21,200,1,0.12482,27,27
3,6.4301e-07,22,200,2,0.089478,29,29
3,6.4301e-07,23,200,1,0.089478,23,23
