"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,1.1633e-05,0,200,2,1.2628,19,19
3,1.1633e-05,1,200,3,1.2628,0,0
3,6.54e-05,2,200,2,0.12139,13,13
3,6.54e-05,3,200,1,0.12139,7,7
3,6.6136e-06,4,200,2,0.8345,9,5
3,6.6136e-06,5,200,1,0.8345,3,1
3,5.9566e-05,6,200,2,0.02757,21,21
3,5.9566e-05,7,200,1,0.02757,15,15
3,3.4901e-05,8,200,2,0.029476,17,17
3,3.4901e-05,9,200,1,0.029476,11,11
3,8.5139e-06,10,200,2,0.83437,5,9
3,8.5139e-06,11,200,1,0.83437,1,3
