"BranchNodeID","ClusterID","CriticalType","NodeId","PercentMatchNode","Persistence","Scalar","TreeID","VertexId","isDummyNode","isImportantPair"
0,0,0,0,200,1.2881,-1.2883,0,3,0,1
1,0,2,2,100,0.0036148,-0.85646,0,3,0,1
1,0,2,2,100,0.0036148,-0.85646,0,3,1,1
2,0,2,4,200,0.84729,-0.84938,0,3,0,1
2,0,2,4,200,0.84729,-0.84938,0,3,1,1
1,0,3,6,100,0.0036148,-0.85284,0,8380,0,1
1,0,3,6,100,0.0036148,-0.85284,0,8380,1,1
3,0,2,8,200,0.8431,-0.84838,0,0,0,1
3,0,2,8,200,0.8431,-0.84838,0,0,1,1
2,0,3,10,200,0.84729,-0.0020849,0,2258,0,1
2,0,3,10,200,0.84729,-0.0020849,0,2258,1,1
4,0,2,12,100,0.0051079,-0.79471,0,3,0,1
4,0,2,12,100,0.0051079,-0.79471,0,3,1,1
3,0,3,14,200,0.8431,-0.0052826,0,6855,0,1
3,0,3,14,200,0.8431,-0.0052826,0,6855,1,1
5,0,2,16,200,0.097327,-0.24484,0,0,0,1
5,0,2,16,200,0.097327,-0.24484,0,0,1,1
4,0,3,18,100,0.0051079,-0.7896,0,9235,0,1
4,0,3,18,100,0.0051079,-0.7896,0,9235,1,1
6,0,2,20,100,0.0055146,-0.18267,0,0,0,1
6,0,2,20,100,0.0055146,-0.18267,0,0,1,1
7,0,2,22,100,0.070213,-0.21285,0,9632,0,1
7,0,2,22,100,0.070213,-0.21285,0,9632,1,1
5,0,3,24,200,0.097327,-0.14752,0,8774,0,1
5,0,3,24,200,0.097327,-0.14752,0,8774,1,1
6,0,3,26,100,0.0055146,-0.17715,0,9632,0,1
6,0,3,26,100,0.0055146,-0.17715,0,9632,1,1
8,0,2,28,100,0.0041738,-0.13738,0,10882,0,1
8,0,2,28,100,0.0041738,-0.13738,0,10882,1,1
7,0,3,30,100,0.070213,-0.14263,0,9640,0,1
7,0,3,30,100,0.070213,-0.14263,0,9640,1,1
0,0,3,32,200,1.2881,-0.00014054,0,15626,0,1
0,0,3,32,200,1.2881,-0.00014054,0,15626,1,1
8,0,3,34,100,0.0041738,-0.13321,0,9640,0,1
8,0,3,34,100,0.0041738,-0.13321,0,9640,1,1
