"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,8.0381e-06,0,200,2,1.2985,23,9
3,8.0381e-06,1,200,3,1.2985,0,0
3,7.5831e-08,2,200,2,0.85737,13,5
3,7.5831e-08,3,200,1,0.85737,5,1
3,5.5653e-07,4,200,2,0.85712,21,21
3,5.5653e-07,5,200,1,0.85712,1,3
3,0.010685,6,100,2,0.1931,15,15
3,0.010685,7,100,1,0.1931,3,7
3,0.0084485,8,100,2,0.1717,27,23
3,0.0084485,9,100,1,0.1717,9,13
3,0.035124,10,100,2,0.087173,17,17
3,0.035124,11,100,1,0.087173,7,11
3,0.0026795,12,100,2,0.021409,29,25
3,0.0026795,13,100,1,0.021409,19,19
