"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,6.6145e-06,0,200,2,1.3846,11,11
3,6.6145e-06,1,200,3,1.3846,0,0
3,2.6279e-06,2,200,2,0.12249,13,13
3,2.6279e-06,3,200,1,0.12249,5,5
3,2.6732e-06,4,200,2,0.85661,19,19
3,2.6732e-06,5,200,1,0.85661,1,1
3,0.00010094,6,200,2,0.12022,9,9
3,0.00010094,7,200,1,0.12022,3,3
3,2.091e-05,8,200,2,0.056143,21,21
3,2.091e-05,9,200,1,0.056143,15,15
3,1.3429e-05,10,200,2,0.057378,17,17
3,1.3429e-05,11,200,1,0.057378,7,7
