"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,1.9426e-06,0,200,2,1.2627,27,27
3,1.9426e-06,1,200,3,1.2627,0,0
3,0.00056267,2,200,2,0.11904,21,21
3,0.00056267,3,200,1,0.11904,13,13
3,4.1986e-06,4,200,2,0.83654,15,7
3,4.1986e-06,5,200,1,0.83654,5,1
3,7.7959e-05,6,200,2,0.051735,25,25
3,7.7959e-05,7,200,1,0.051735,19,19
3,0.00012585,8,200,2,0.04892,29,29
3,0.00012585,9,200,1,0.04892,23,23
3,9.6243e-06,10,200,2,0.83635,7,15
3,9.6243e-06,11,200,1,0.83635,1,5
3,5.7368e-05,12,200,2,0.063066,17,9
3,5.7368e-05,13,200,1,0.063066,11,3
3,6.0919e-05,14,200,2,0.063032,9,17
3,6.0919e-05,15,200,1,0.063032,3,11
