"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,5.9977e-09,0,200,2,1.2619,27,27
3,5.9977e-09,1,200,3,1.2619,0,0
3,1.7366e-06,2,200,2,0.12053,21,21
3,1.7366e-06,3,200,1,0.12053,13,13
3,1.2968e-08,4,200,2,0.83746,15,15
3,1.2968e-08,5,200,1,0.83746,5,5
3,3.899e-07,6,200,2,0.058661,25,25
3,3.899e-07,7,200,1,0.058661,19,19
3,2.3801e-07,8,200,2,0.058283,29,29
3,2.3801e-07,9,200,1,0.058283,23,23
3,2.9712e-08,10,200,2,0.83799,7,7
3,2.9712e-08,11,200,1,0.83799,1,1
3,1.7706e-07,12,200,2,0.059624,17,17
3,1.7706e-07,13,200,1,0.059624,11,11
3,1.8802e-07,14,200,2,0.059584,9,9
3,1.8802e-07,15,200,1,0.059584,3,3
